1,"平成22年国勢調査人口等基本集計（総務省統計局）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,"","","","","","","","","第3-2表　年齢(各歳)，男女別人口，年齢別割合，平均年齢及び年齢中位数(総数及び日本人) － 全国※，都道府県※，市町村※・旧市町村 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,"","","","","","","","","Table 3-2. Population (Total and Japanese Population), by Age (Single Years) and Sex, Percentage by age, Average Age and Median Age - Japan*, Prefectures*, Shi*, Machi*, Mura*, and Municipalities in 2000 ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5,"","","","","","","","","※大項目","01（koku2A.0000  総数（国籍） 1)）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6,"","","","","","","","","","02（koku2A.0001  日本人）","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,"","","","","","","","","1) 日本人・外国人の別「不詳」を含む。","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8,"","","","","","","","","2) 不詳を除いて算出。","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,"","","","","","","","","nenKBX.0000","nenKBX.0001","nenKBX.0002","nenKBX.0003","nenKBX.0004","nenKBX.0005","nenKBX.0006","nenKBX.0007","nenKBX.0008","nenKBX.0009","nenKBX.0010","nenKBX.0011","nenKBX.0012","nenKBX.0013","nenKBX.0014","nenKBX.0015","nenKBX.0016","nenKBX.0017","nenKBX.0018","nenKBX.0019","nenKBX.0020","nenKBX.0021","nenKBX.0022","nenKBX.0023","nenKBX.0024","nenKBX.0025","nenKBX.0026","nenKBX.0027","nenKBX.0028","nenKBX.0029","nenKBX.0030","nenKBX.0031","nenKBX.0032","nenKBX.0033","nenKBX.0034","nenKBX.0035","nenKBX.0036","nenKBX.0037","nenKBX.0038","nenKBX.0039","nenKBX.0040","nenKBX.0041","nenKBX.0042","nenKBX.0043","nenKBX.0044","nenKBX.0045","nenKBX.0046","nenKBX.0047","nenKBX.0048","nenKBX.0049","nenKBX.0050","nenKBX.0051","nenKBX.0052","nenKBX.0053","nenKBX.0054","nenKBX.0055","nenKBX.0056","nenKBX.0057","nenKBX.0058","nenKBX.0059","nenKBX.0060","nenKBX.0061","nenKBX.0062","nenKBX.0063","nenKBX.0064","nenKBX.0065","nenKBX.0066","nenKBX.0067","nenKBX.0068","nenKBX.0069","nenKBX.0070","nenKBX.0071","nenKBX.0072","nenKBX.0073","nenKBX.0074","nenKBX.0075","nenKBX.0076","nenKBX.0077","nenKBX.0078","nenKBX.0079","nenKBX.0080","nenKBX.0081","nenKBX.0082","nenKBX.0083","nenKBX.0084","nenKBX.0085","nenKBX.0086","nenKBX.0087","nenKBX.0088","nenKBX.0089","nenKBX.0090","nenKBX.0091","nenKBX.0092","nenKBX.0093","nenKBX.0094","nenKBX.0095","nenKBX.0096","nenKBX.0097","nenKBX.0098","nenKBX.0099","nenKBX.0100","nenKBX.0101","nenKBX.0102","nenHN.0001","nenHN.0002","nen5B.0001","nen5B.0002","nen5B.0003","nen5B.0004","nen5B.0005","nen5B.0006","nen5B.0007","nen5B.0008","nen5B.0009","nen5B.0010","nen5B.0011","nen5B.0012","nen5B.0013","nen5B.0014","nen5B.0015","nen5B.0016","nen5B.0017","nen5B.0018","nen5B.0019","nen5B.0020","nen5B.0021","nen5B.0022","nen5B.0023","nen5B.0024","nen5B.0025","nen5B.0026","nen5B.0027","nen5B.0028","nen5B.0029","nen5B.0030","nen5B.0031"
10,"","","","","","","","","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","3","1","1","1","2","3"
11,"※大項目","地域コード","地域識別コード","境域年次(2010)","境域年次(2000)","","","","総数（年齢）","0歳","1歳","2歳","3歳","4歳","5歳","6歳","7歳","8歳","9歳","10歳","11歳","12歳","13歳","14歳","15歳","16歳","17歳","18歳","19歳","20歳","21歳","22歳","23歳","24歳","25歳","26歳","27歳","28歳","29歳","30歳","31歳","32歳","33歳","34歳","35歳","36歳","37歳","38歳","39歳","40歳","41歳","42歳","43歳","44歳","45歳","46歳","47歳","48歳","49歳","50歳","51歳","52歳","53歳","54歳","55歳","56歳","57歳","58歳","59歳","60歳","61歳","62歳","63歳","64歳","65歳","66歳","67歳","68歳","69歳","70歳","71歳","72歳","73歳","74歳","75歳","76歳","77歳","78歳","79歳","80歳","81歳","82歳","83歳","84歳","85歳","86歳","87歳","88歳","89歳","90歳","91歳","92歳","93歳","94歳","95歳","96歳","97歳","98歳","99歳","100歳以上","不詳","平均年齢","年齢中位数","（再掲）0～4歳","（再掲）5～9歳","（再掲）10～14歳","（再掲）15～19歳","（再掲）20～24歳","（再掲）25～29歳","（再掲）30～34歳","（再掲）35～39歳","（再掲）40～44歳","（再掲）45～49歳","（再掲）50～54歳","（再掲）55～59歳","（再掲）60～64歳","（再掲）65～69歳","（再掲）70～74歳","（再掲）75～79歳","（再掲）80～84歳","（再掲）85～89歳","（再掲）90～94歳","（再掲）95～99歳","（再掲）100歳以上","（再掲）15歳未満","（再掲）15～64歳","（再掲）65歳以上","（再掲）75歳以上","（再掲）85歳以上","（年令別割合（％））15歳未満 2)","（年令別割合（％））15～64歳 2)","（年令別割合（％））65歳以上 2)","（年令別割合（％））75歳以上 2)","（年令別割合（％））85歳以上 2)"
12,"01","13000","a","2010","2000","danjo.0000","0","東京都",13159388,104106,101636,100933,98310,95284,93852,96443,96980,98555,98473,100270,98350,99223,98110,96846,101426,100194,97044,114761,133148,141623,148613,158199,165523,171953,182552,189071,191525,192348,193858,200983,203143,208575,209499,216568,223648,234609,240344,235057,230399,225890,223060,217051,215091,172140,205222,189777,180086,169449,161027,158806,153821,147766,139220,140478,144366,143393,148833,157907,166265,180597,199204,204394,196981,124738,133201,161304,160004,160923,155964,142175,122140,128749,130014,131853,124279,111228,111317,103526,94204,86481,77614,73082,67854,61341,53564,43623,37689,33716,28693,24863,17620,15109,12411,10241,7881,6090,4449,3247,2038,3744,189561,43.7819524115,42.3406088892,500269,484303,492799,546573,785911,949354,1038768,1164057,1053232,905561,740091,760764,905914,771396,654931,544554,366372,197285,80244,23705,3744,1477371,8850225,2642231,1215904,304978,11.3908304251,68.2370319974,20.3721375775,9.3748667581,2.3514423130
13,"01","13000","a","2010","2000","danjo.0001","1","　男",6512110,53175,52076,51752,50278,48806,47885,49197,49730,50498,50515,51175,50222,51029,49995,49445,51842,51223,49085,58054,67465,72364,75928,81162,85049,87969,93409,97124,99114,98976,99149,102260,103986,107376,107699,111365,114505,119930,122692,120373,117471,115806,114080,111548,111204,88530,105825,98742,92604,87517,82971,81757,79444,76108,71207,71481,73581,73340,75872,80122,84257,90843,99426,101920,97281,60195,63783,76843,75562,75554,73044,66056,56598,58724,58689,58608,54950,49429,48685,44248,39185,35613,30409,28536,25787,22712,18878,14687,11464,9797,7873,6734,4549,3775,3012,2283,1729,1286,893,608,399,521,103598,42.4854488842,41.3252279102,256087,247825,251866,277669,402472,487772,532686,594971,541168,467659,379997,387172,449665,364786,298675,236497,143057,62699,20353,4915,521,755778,4521231,1131503,468042,88488,11.7933460997,70.5504023399,17.6562515604,7.3034426712,1.3807885512
14,"01","13000","a","2010","2000","danjo.0002","1","　女",6647278,50931,49560,49181,48032,46478,45967,47246,47250,48057,47958,49095,48128,48194,48115,47401,49584,48971,47959,56707,65683,69259,72685,77037,80474,83984,89143,91947,92411,93372,94709,98723,99157,101199,101800,105203,109143,114679,117652,114684,112928,110084,108980,105503,103887,83610,99397,91035,87482,81932,78056,77049,74377,71658,68013,68997,70785,70053,72961,77785,82008,89754,99778,102474,99700,64543,69418,84461,84442,85369,82920,76119,65542,70025,71325,73245,69329,61799,62632,59278,55019,50868,47205,44546,42067,38629,34686,28936,26225,23919,20820,18129,13071,11334,9399,7958,6152,4804,3556,2639,1639,3223,85963,45.0482623529,43.4370566096,244182,236478,240933,268904,383439,461582,506082,569086,512064,437902,360094,373592,456249,406610,356256,308057,223315,134586,59891,18790,3223,721593,4328994,1510728,747862,216490,10.9976887255,65.9775365152,23.0247747593,11.3980505432,3.2994910319
15,"01","13001","b","2010","2000","danjo.0000","0","東京都 市部",13072823,103505,101039,100253,97640,94595,93171,95748,96269,97808,97750,99535,97617,98490,97365,96065,100696,99381,96255,114048,132504,141001,147957,157497,164845,171221,181817,188288,190708,191515,193012,200096,202228,207585,208538,215544,222501,233389,239130,233841,229177,224707,221922,215962,213937,171226,204152,188732,179088,168442,160093,157822,152772,146694,138215,139340,143168,142173,147557,156487,164772,178942,197433,202537,195338,123675,132009,159942,158623,159589,154672,141008,121176,127734,129006,130807,123282,110275,110387,102662,93325,85716,76895,72382,67115,60724,52977,43102,37282,33341,28298,24544,17384,14909,12226,10093,7779,6005,4368,3193,1997,3685,189501,43.7536683473,42.3028680972,497032,480746,489072,542884,782521,945340,1033991,1158038,1047754,900507,734843,754157,897925,764835,649731,539931,362832,195000,79156,23342,3685,1466850,8797960,2618512,1203946,301183,11.3856503781,68.2895296725,20.3248199494,9.3449965777,2.3377743722
